label,content
0,"a dreary , incoherent , self-indulgent mess of a movie in which a bunch of pompous windbags drone on inanely for two hours ... a cacophony of pretentious , meaningless prattle ."
1,"much of the way , though , this is a refreshingly novel ride ."
1,"for the first time in several years , mr. allen has surpassed himself with the magic he 's spun with the hollywood empress of ms. leoni 's ellie ."
1,one scarcely needs the subtitles to enjoy this colorful action farce .
0,"as it abruptly crosscuts among the five friends , it fails to lend the characters ' individual stories enough dramatic resonance to make us care about them ."
1,what might have been a predictably heartwarming tale is suffused with complexity .
0,"with generic sets and b-grade special effects , jason is about as convincing on the sci-fi front as tv 's defunct cleopatra 2525 ."
1,this is simply the most fun you 'll ever have with a documentary !
1,"it represents better-than-average movie-making that does n't demand a dumb , distracted audience ."
0,... the sum of the parts equals largely a confused mediocrity .
0,"it may be an easy swipe to take , but this barbershop just does n't make the cut ."
1,the fact that the rookie is a nearly impeccable cinematic experience -- and a wonderful all-ages triumph besides -- is a miracle akin to the story the film portrays .
0,"how on earth , or anywhere else , did director ron underwood manage to blow $ 100 million on this ?"
1,"for all its failed connections , divine secrets of the ya-ya sisterhood is nurturing , in a gauzy , dithering way ."
0,"as are its star , its attitude and its obliviousness ."
0,"sluggishly directed by episodic tv veteran joe zwick , it 's a sitcom without the snap-crackle ."
1,a dream cast of solid female talent who build a seamless ensemble .
0,"the plot is straight off the shelf , the performances are television - caliber and the message of providing solace through deception is a little creepy ."
0,"instead of accurately accounting a terrible true story , the film 's more determined to become the next texas chainsaw massacre ."
1,"the movie is well shot and very tragic , and one to ponder after the credits roll ."
1,"it is ridiculous , of course ... but it is also refreshing , disarming , and just outright enjoyable despite its ridiculousness ."
1,"everything you loved about it in 1982 is still there , for everybody who wants to be a kid again , or show it to their own kids ."
1,"tadpole is a sophisticated , funny and good-natured treat , slight but a pleasure ."
0,"a turgid little history lesson , humourless and dull ."
0,the cartoon that is n't really good enough to be on afternoon tv is now a movie that is n't really good enough to be in theaters .
1,"a sensual performance from abbass buoys the flimsy story , but her inner journey is largely unexplored and we 're left wondering about this exotic-looking woman whose emotional depths are only hinted at ."
1,a harmless and mildly amusing family comedy .
0,"not ` terrible filmmaking ' bad , but more like , ' i once had a nightmare like this , and it 's now coming true ' bad ."
0,"a movie that , rather than skip along the seine , more or less slogs its way through soggy paris , tongue uncomfortably in cheek ."
1,"it does succeed by following a feel-good formula with a winning style , and by offering its target audience of urban kids some welcome role models and optimism ."
1,"-lrb- schweiger is -rrb- talented and terribly charismatic , qualities essential to both movie stars and social anarchists ."
0,a well acted and well intentioned snoozer .
1,"serry does a fine job of capturing the climate of the times and , perhaps unwittingly , relating it to what is happening in america in 2002 ."
0,"for all its alleged youthful fire , xxx is no less subservient to bond 's tired formula of guns , girls and gadgets while brandishing a new action hero ."
1,"this cuddly sequel to the 1999 hit is a little more visually polished , a little funnier , and a little more madcap ."
0,now it 's just tired .
0,not so much a movie as a picture book for the big screen .
0,it 's difficult to say whether the tuxedo is more boring or embarrassing -- i 'm prepared to call it a draw .
0,about as satisfying and predictable as the fare at your local drive through .
0,the movie succumbs to being nothing more than a formulaic chase in the dark .
1,"as lo-fi as the special effects are , the folks who cobbled nemesis together indulge the force of humanity over hardware in a way that george lucas has long forgotten ."
1,writer-director burger imaginatively fans the embers of a dormant national grief and curiosity that has calcified into chronic cynicism and fear .
0,"truth to tell , if you 've seen more than half-a-dozen horror films , there 's nothing here you have n't seen before ."
0,"george , hire a real director and good writers for the next installment , please ."
0,all these developments and challenges facing santa weigh down the plot so heavily that they drain all the film of its energy and needlessly strain credibility .
0,it 's so full of wrong choices that all you can do is shake your head in disbelief -- and worry about what classic oliver parker intends to mangle next time .
1,the film runs on equal parts of innocence and wisdom -- wisdom that comes with experience .
1,"goyer 's screenplay and direction are thankfully understated , and he has drawn excellent performances from his cast ."
1,"reinforces the often forgotten fact of the world 's remarkably varying human population and mindset , and its capacity to heal using creative , natural and ancient antidotes ."
0,abandons all pretense of creating historical context and waltzes off into a hectic soap about the ups and downs of the heavy breathing between the two artists .
1,"if it tried to do anything more , it would fail and perhaps explode , but at this level of manic whimsy , it is just about right ."
1,scores a few points for doing what it does with a dedicated and good-hearted professionalism .
0,director dirk shafer and co-writer greg hinton ride the dubious divide where gay porn reaches for serious drama .
0,"without a strong script and energetic acting , dogma films can produce the same sleep-inducing effects as watching your neighbor 's home videos ."
0,"a frantic search for laughs , with a hit-to-miss ratio that does n't exactly favour the audience ."
0,de niro may enjoy the same free ride from critics afforded to clint eastwood in the lazy bloodwork .
1,an intelligent fiction about learning through cultural clash .
1,"greengrass has delivered an undoubted stylistic tour-de-force , and has managed elements such as sound and cinematography with skill"
0,there 's something fundamental missing from this story : something or someone to care about .
1,at heart the movie is a deftly wrought suspense yarn whose richer shadings work as coloring rather than substance .
1,"sometimes , nothing satisfies like old-fashioned swashbuckling ."
0,enough similarities to gymkata and howie long 's firestorm that my fingernails instinctively crawled towards my long-suffering eyeballs .
1,"despite what anyone believes about the goal of its makers , the show ... represents a spectacular piece of theater , and there 's no denying the talent of the creative forces behind it ."
1,"here 's a british flick gleefully unconcerned with plausibility , yet just as determined to entertain you ."
1,a well-made and often lovely depiction of the mysteries of friendship .
0,if i spy were funny -lrb- enough -rrb- or exciting -lrb- enough -rrb- then it would be fairly simple to forgive the financial extortion it 's trying to reap from the moviegoing public .
0,"a great ending does n't make up for a weak movie , and crazy as hell does n't even have a great ending ."
0,demands too much of most viewers .
1,rare is the ` urban comedy ' that even attempts the insight and honesty of this disarming indie .
0,"its lack of quality earns it a place alongside those other two recent dumas botch-jobs , the man in the iron mask and the musketeer ."
1,a deviant topical comedy which is funny from start to finish .
0,arguably the year 's silliest and most incoherent movie .
0,the movie quickly drags on becoming boring and predictable .
1,"while not as aggressively impressive as its american counterpart , `` in the bedroom , '' moretti 's film makes its own , quieter observations"
0,imagine if you will a tony hawk skating video interspliced with footage from behind enemy lines and set to jersey shore techno .
1,a refreshingly authentic coming-of-age tale .
1,the smartest bonehead comedy of the summer .
1,u.s. audiences may find -lrb- attal and gainsbourg 's -rrb- unfamiliar personas give the film an intimate and quaint reality that is a little closer to human nature than what hollywood typically concocts .
1,escapism in its purest form .
1,the cast is uniformly excellent and relaxed .
1,"works because , for the most part , it avoids the stupid cliches and formulaic potholes that befall its brethren ."
0,sucking all the ` classic ' out of robert louis stevenson 's treasure island and filling the void with sci-fi video game graphics and disney-fied adolescent angst ...
0,"audiences conditioned to getting weepy over saucer-eyed , downy-cheeked moppets and their empathetic caretakers will probably feel emotionally cheated by the film 's tart , sugar-free wit ."
1,despite some gulps the film is a fuzzy huggy .
0,"nothing debases a concept comedy quite like the grinding of bad ideas , and showtime is crammed full of them ."
1,"it 's an example of sophisticated , challenging filmmaking that stands , despite its noticeable lack of emotional heft , in welcome contrast to the indulgent dead-end experimentation of the director 's previous full frontal ."
0,"even if britney spears is really cute , her movie is really bad ."
0,the backyard battles you staged with your green plastic army men were more exciting and almost certainly made more sense .
0,the ring just left me cold and wet like i was out in the seattle drizzle without rainwear .
0,"the plot is very clever , but boyd weighs it down with too many characters and events , all intertwined and far too complicated to keep track of ."
1,it 's one of the saddest films i have ever seen that still manages to be uplifting but not overly sentimental .
0,"it 's all pretty cynical and condescending , too ."
1,"it takes this never-ending confusion and hatred , puts a human face on it , evokes shame among all who are party to it and even promotes understanding ."
0,barely goes beyond comic book status .
1,"even if you ca n't pronounce `` gyro '' correctly , you 'll appreciate much of vardalos ' humor , which transcends ethnic boundaries ."
0,borrows from so many literary and cinematic sources that this future world feels absolutely deja vu .
1,"once again , director jackson strikes a rewarding balance between emotion on the human scale and action\/effects on the spectacular scale ."
0,"as adapted by kevin molony from simon leys ' novel `` the death of napoleon '' and directed by alan taylor , napoleon 's journey is interesting but his parisian rebirth is stillborn"
1,"not everything works , but the average is higher than in mary and most other recent comedies ."
0,"it smacks of purely commercial motivation , with no great love for the original ."
1,a fairly by-the-books blend of action and romance with sprinklings of intentional and unintentional comedy .
0,a dreary rip-off of goodfellas that serves as a muddled and offensive cautionary tale for hispanic americans .
1,sits uneasily as a horror picture ... but finds surprising depth in its look at the binds of a small family .
0,"lacking gravitas , macdowell is a placeholder for grief , and ergo this sloppy drama is an empty vessel ."
1,"an impressive debut for first-time writer-director mark romanek , especially considering his background is in music video ."
0,"it 's push-the-limits teen comedy , the type written by people who ca n't come up with legitimate funny , and it 's used so extensively that good bits are hopelessly overshadowed ."
0,the story and characters are nowhere near gripping enough .
0,ridiculous .
0,no. .
1,"if it seems like a minor miracle that its septuagenarian star is young enough to be the nonagenarian filmmaker 's son , more incredible still are the clear-eyed boldness and quiet irony with which actor and director take on life 's urgent questions ."
0,a long-winded and stagy session of romantic contrivances that never really gels like the shrewd feminist fairy tale it could have been .
0,a film so tedious that it is impossible to care whether that boast is true or not .
1,"and in this regard , on guard delivers ."
1,something the true film buff will enjoy .
0,"the result is solemn and horrifying , yet strangely detached ."
1,"a gentle , compassionate drama about grief and healing ."
0,"the story itself is uninteresting , and the songs are painfully undistinguished : they might be giants ' so to be one of us may be the most tuneless tune ever composed ."
1,"it 's the cinematic equivalent of a good page-turner , and even if it 's nonsense , its claws dig surprisingly deep ."
1,the result is something quite fresh and delightful .
1,"if you love motown music , you 'll love this documentary ."
1,it 's solid and affecting and exactly as thought-provoking as it should be .
1,"you have to pay attention to follow all the stories , but they 're each interesting ."
1,"-lrb- wendigo is -rrb- why we go to the cinema : to be fed through the eye , the heart , the mind ."
1,"lovingly choreographed bloodshed taking place in a pristine movie neverland , basically ."
1,"a thoughtful , moving piece that faces difficult issues with honesty and beauty ."
0,"for a film about two mismatched buddies , crystal and de niro share little screen time and even less chemistry ."
0,"spousal abuse is a major problem in contemporary society , but the film reduces this domestic tragedy to florid melodrama ."
1,frida 's artistic brilliance is undeniable -- it 's among the most breathtakingly designed films i 've ever seen .
0,i hate this movie
0,"not so much funny as aggressively sitcom-cute , it 's full of throwaway one-liners , not-quite jokes , and a determined tv amiability that allen personifies ."
1,the film overcomes the regular minefield of coming-of-age cliches with potent doses of honesty and sensitivity .
1,"like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel ."
1,"city by the sea is the cinematic equivalent of defensive driving : it 's careful , conscientious and makes no major mistakes ."
1,it 's both a necessary political work and a fascinating documentary ...
1,"this insightful , oscar-nominated documentary , in which children on both sides of the ever-escalating conflict have their say away from watchful parental eyes , gives peace yet another chance ."
0,"this film is so slick , superficial and trend-hoppy , that it 's easy to imagine that a new software program spit out the screenplay ."
0,"too much of this well-acted but dangerously slow thriller feels like a preamble to a bigger , more complicated story , one that never materializes ."
1,"so young , so smart , such talent , such a wise \*\*\* ."
1,resourceful and ingenious entertainment .
0,` enigma ' is a good name for a movie this delibrately obtuse and unapproachable .
1,"rain is a small treasure , enveloping the viewer in a literal and spiritual torpor that is anything but cathartic ."
1,"this romantic thriller is steeped in the atmosphere of wartime england , and ably captures the speech patterns , moral codes and ideals of the 1940s ."
0,"reggio falls victim to relying on the very digital technology that he fervently scorns , creating a meandering , inarticulate and ultimately disappointing film ."
1,a masterpiece four years in the making .
0,`` an entire film about researchers quietly reading dusty old letters . ''
1,"in adobo , ethnicity is not just the spice , but at the heart of more universal concerns ."
0,do we really need a 77-minute film to tell us exactly why a romantic relationship between a 15-year-old boy and a 40-year-old woman does n't work ?
0,"this self-infatuated goofball is far from the only thing wrong with the clumsy comedy stealing harvard , but he 's the most obvious one ."
1,the film often achieves a mesmerizing poetry .
1,"a triumph , relentless and beautiful in its downbeat darkness ."
0,the movie 's biggest offense is its complete and utter lack of tension .
1,digital-video documentary about stand-up comedians is a great glimpse into a very different world .
1,impresses you with its open-endedness and surprises .
0,"the smug , oily demeanor that donovan adopts throughout the stupidly named pipe dream is just repulsive ."
1,her delivery and timing are flawless .
0,if high crimes were any more generic it would have a universal product code instead of a title .
1,"almost every scene in this film is a gem that could stand alone , a perfectly realized observation of mood , behavior and intent ."
0,"when it 's on dry land , though , this surfer-girl melodrama starts gasping like a beached grouper ."
0,"like a tone-deaf singer at a benefit concert , john q. is a bad movie appearing on behalf of a good cause ."
0,boring we did n't .
1,"a spunky , original take on a theme that will resonate with singles of many ages ."
0,undercover brother does n't go far enough .
0,moot point .
0,let 's cut to the consumer-advice bottom line : stay home .
1,"as green-guts monster movies go , it 's a beaut ."
1,"elling , portrayed with quiet fastidiousness by per christian ellefsen , is a truly singular character , one whose frailties are only slightly magnified versions of the ones that vex nearly everyone ."
1,"the movie is full of fine performances , led by josef bierbichler as brecht and monica bleibtreu as helene weigel , his wife ."
1,m?¬nch 's genuine insight makes the film 's occasional overindulgence forgivable .
0,the sum of all fears is almost impossible to follow -- and there 's something cringe-inducing about seeing an american football stadium nuked as pop entertainment .
1,all but the most persnickety preteens should enjoy this nonthreatening but thrilling adventure .
0,"the problem , it is with most of these things , is the script ."
0,beyond a handful of mildly amusing lines ... there just is n't much to laugh at .
0,"this miserable excuse of a movie runs on empty , believing flatbush machismo will get it through ."
1,"for the first two-thirds of this sparklingly inventive and artful , always fast and furious tale , kids will go happily along for the ride ."
0,neither funny nor suspenseful nor particularly well-drawn .
0,a compendium of solondz 's own worst instincts in under 90 minutes .
0,all i can say is fuhgeddaboutit .
1,"biggie and tupac is so single-mindedly daring , it puts far more polished documentaries to shame ."
0,anyone who can count to five -lrb- the film 's target market ? -rrb-
0,warmed-over tarantino by way of wannabe elmore leonard .
1,an endearingly offbeat romantic comedy with a great meet-cute gimmick .
1,"emerges as something rare , an issue movie that 's so honest and keenly observed that it does n't feel like one ."
1,"sharp , lively , funny and ultimately sobering film ."
1,"shainberg weaves a carefully balanced scenario that is controlled by neither character , is weirdly sympathetic to both and manages to be tender and darkly comic ."
0,"thirty years ago , it would have been groundbreaking ."
0,"it is a comedy that 's not very funny and an action movie that is not very thrilling -lrb- and an uneasy alliance , at that -rrb- ."
0,"unfortunately , as a writer , mr. montias is n't nearly as good to his crew as he is as a director or actor ."
0,"a long-winded , predictable scenario ."
1,invincible is a wonderful movie .
1,"earns its laughs from stock redneck ` types ' and from the many , many moments when we recognize even without the elizabethan prose , the play behind the thing ."
1,"a smart , sweet and playful romantic comedy ."
1,a moody horror\/thriller elevated by deft staging and the director 's well-known narrative gamesmanship .
0,a dreadful live-action movie .
1,"s personal revelations regarding what the shop means in the big picture , iconic characters gambol fluidly through the story , with charming results ."
1,"for the most part , i spy was an amusing lark that will probably rank as one of murphy 's better performances in one of his lesser-praised movies ."
1,"though the controversial korean filmmaker 's latest effort is not for all tastes , it offers gorgeous imagery , effective performances , and an increasingly unsettling sense of foreboding ."
1,well worth the time .
0,they felt like the same movie to me .
1,"witty , touching and well paced ."
0,"i would have preferred a transfer down the hall to mr. holland 's class for the music , or to robin williams 's lecture so i could listen to a teacher with humor , passion , and verve ."
1,this is the best american movie about troubled teens since 1998 's whatever .
0,absorbing and disturbing -- perhaps more disturbing than originally intended -- but a little clarity would have gone a long way .
1,good movie .
1,i whole-heartedly recommend that everyone see this movie -- for its historical significance alone .
0,"it 's badly acted , blandly directed , and could have been scripted by someone who just graduated from elementary school ."
1,but what spectacular sizzle it is !
1,stephen earnhart 's homespun documentary mule skinner blues has nothing but love for its posse of trailer park denizens .
1,"it 's a sly wink to the others without becoming a postmodern joke , made creepy by its `` men in a sardine can '' warped logic ."
1,a cop story that understands the medium amazingly well .
0,"taken individually or collectively , the stories never add up to as much as they promise ."
0,"when she speaks , her creepy egyptian demigod voice is as computer processed and overproduced as it was in her music ."
1,one of the greatest romantic comedies of the past decade .
0,the plot grinds on with yawn-provoking dullness .
1,"an amusing , breezily apolitical documentary about life on the campaign trail ."
1,time changer may not be the most memorable cinema session but its profound self-evaluation message about our fragile existence and the absence of spiritual guidance should at least invade an abundance of mindsets
1,"a very witty take on change , risk and romance , and the film uses humour to make its points about acceptance and growth ."
0,... the last time i saw a theater full of people constantly checking their watches was during my sats .
1,"these are lives worth watching , paths worth following ."
0,"static , repetitive , muddy and blurry , hey arnold !"
0,"this is a throwaway , junk-food movie whose rap soundtrack was better tended to than the film itself ."
1,"the wwii drama is well plotted , visually striking and filled with enjoyably complex characters who are never what they first appear ."
1,a film that is a portrait of grace in an imperfect world .
0,"ultimately the project comes across as clinical , detached , uninvolving , possibly prompting audience members to wonder , ` what 's the point ? '"
1,the best movie of its kind since ` brazil . '
1,davis has filled out his cast with appealing fresh faces .
1,"it might be tempting to regard mr. andrew and his collaborators as oddballs , but mr. earnhart 's quizzical , charming movie allows us to see them , finally , as artists ."
0,"sadly , hewitt 's forte is leaning forward while wearing low-cut gowns , not making snappy comebacks ."
0,so what is the point ?
0,the issue of faith is not explored very deeply
1,"my oh my , is this an invigorating , electric movie ."
1,"director ferzan ozpetek creates an interesting dynamic with the members of this group , who live in the same apartment building ."
0,"i kept thinking over and over again , ' i should be enjoying this . '"
0,do n't expect any surprises in this checklist of teamwork cliches ...
0,"i saw knockaround guys yesterday , and already the details have faded like photographs from the spanish-american war ... it 's so unmemorable that it turned my ballpoint notes to invisible ink ."
1,"the stunning , dreamlike visuals will impress even those viewers who have little patience for euro-film pretension ."
1,an eccentric little comic\/thriller deeply in love with its own quirky personality .
1,"my goodness , queen latifah has a lot to offer and she seemed to have no problem flaunting her natural gifts ."
0,"egoyan 's movie is too complicated to sustain involvement , and , if you 'll excuse a little critical heresy , too intellectually ambitious ."
1,will grab your children by the imagination and amaze them and amuse them .
0,a chaotic panorama that 's too busy flying a lot of metaphoric flags .
0,"the overall feel of the film is pretty cheesy , but there 's still a real sense that the star trek tradition has been honored as best it can , given the embarrassing script and weak direction ."
1,this is one for the ages .
1,"the animated subplot keenly depicts the inner struggles of our adolescent heroes - insecure , uncontrolled , and intense ."
1,"a compelling , moving film that respects its audience and its source material ."
1,the talents of the actors helps `` moonlight mile '' rise above its heart-on-its-sleeve writing .
0,"as elegantly crafted as it often is , anderson 's movie is essentially a one-trick pony that , hampered by an undeveloped script , ultimately pulls up lame ."
0,"all the characters are stereotypes , and their interaction is numbingly predictable ."
1,"day is not a great bond movie , but it is a good bond movie , which still makes it much better than your typical bond knock-offs ."
0,"the tug-of-war at the core of beijing bicycle becomes weighed down with agonizing contrivances , overheated pathos and long , wistful gazes ."
0,quick : who wants to see a comedy about shoddy airport security ?
0,"by the end , i was looking for something hard with which to bludgeon myself unconscious ."
0,the only element of suspense is whether the movie will change titles or distributors again before the closing credits roll .
1,this clever caper movie has twists worthy of david mamet and is enormous fun for thinking audiences .
1,most of crush is a clever and captivating romantic comedy with a welcome pinch of tartness .
1,makmalbaf follows a resolutely realistic path in this uncompromising insight into the harsh existence of the kurdish refugees of iran 's borderlands .
0,"despite a blue-chip cast and a provocative title , writer-director peter mattei 's first feature microwaves dull leftover romantic motifs basted in faux-contemporary gravy ."
1,"well-written , nicely acted and beautifully shot and scored , the film works on several levels , openly questioning social mores while ensnaring the audience with its emotional pull ."
1,"this is n't a narrative film -- i do n't know if it 's possible to make a narrative film about september 11th , though i 'm sure some will try -- but it 's as close as anyone has dared to come ."
1,"christians sensitive to a reductionist view of their lord as a luv-spreading dr. feelgood or omnipotent slacker will feel vastly more affronted than secularists , who might even praise god for delivering such an instant camp classic ."
1,a clever blend of fact and fiction .
0,there 's plenty of style in guillermo del toro 's sequel to the 1998 hit but why do we need 117 minutes to tell a tale that simply ca n't sustain more than 90 minutes .
0,"the writers , director wally wolodarsky , and all the actors should start their own coeducational fraternity : kappa rho alpha phi ."
1,the filmmakers skillfully evoke the sense of menace that nature holds for many urban dwellers .
0,"it 's best to avoid imprisonment with the dull , nerdy folks that inhabit cherish ."
0,"based on a david leavitt story , the film shares that writer 's usual blend of observant cleverness , too-facile coincidence and slightly noxious preciousness ."
1,pray 's film works well and will appeal even to those who are n't too familiar with turntablism .
0,"it 's drained of life in an attempt to be sober and educational , and yet it 's so devoid of realism that its lack of whistles and bells just makes it obnoxious and stiff ."
1,"to the film 's credit , the acting is fresh and unselfconscious , and munch is a marvel of reality versus sappy sentiment ."
0,"why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ?"
1,"an absorbing trip into the minds and motivations of people under stress as well as a keen , unsentimental look at variations on the theme of motherhood ."
1,"though a bit of a patchwork in script and production , a glossy , rich green , environment almost makes the picture work ."
0,well-shot but badly written tale set in a future ravaged by dragons .
0,outrageousness is all plympton seemed to be going for this time .
1,there 's a vastness implied in metropolis that is just breathtaking .
1,a feel-good picture in the best sense of the term .
1,this is a happy throwback to the time when cartoons were cinema 's most idiosyncratic form instead of one of its most predictable .
1,"newton draws our attention like a magnet , and acts circles around her better known co-star , mark wahlberg ."
1,vividly conveys both the pitfalls and the pleasures of over-the-top love .
0,formula 51 is so trite that even yu 's high-energy action stylings ca n't break through the stupor .
1,"when your leading ladies are a couple of screen-eating dominatrixes like goldie hawn and susan sarandon at their raunchy best , even hokum goes down easily ."
0,flaccid drama and exasperatingly slow journey .
0,"too silly to be frightening , too stolid to be funny , it projects the same lazy affability as its nominal star , david arquette ."
0,"overall , the film misses the brilliance of jelinek 's novel by some way ."
1,"an incredibly low-rent danish film , it brings a group of people together in a sweet and charming way , if a little convenient"
0,"the film meant well in its horse tale about freedom , but was n't able to reach the heart because it was too overbearing ."
1,"occasionally funny , always very colorful and enjoyably overblown in the traditional almod??var style ."
0,high crimes miscasts nearly every leading character .
1,"pretty darn good , despite its smarty-pants aura ."
0,a mixed bag of a comedy that ca n't really be described as out of this world .
1,"a movie that will touch the hearts of both children and adults , as well as bring audiences to the edge of their seats ."
1,-lrb- an -rrb- hilarious romantic comedy .
1,both deeply weird and charmingly dear .
0,the ill-conceived modern-day ending falls flat where it should deliver a moral punch .
1,the movie has lots of dancing and fabulous music .
1,"what you would end up with if you took orwell , bradbury , kafka , george lucas and the wachowski brothers and threw them into a blender ."
1,"a hip ride into hyper-time , clockstoppers is a lively and enjoyable adventure for all ages at any time ."
0,"it risks seeming slow and pretentious , because it thinks the gamble is worth the promise ."
1,"occasionally melodramatic , it 's also extremely effective ."
0,a very stylish but ultimately extremely silly tale ... a slick piece of nonsense but nothing more .
0,"it 's really yet another anemic and formulaic lethal weapon-derived buddy-cop movie , trying to pass off its lack of imagination as hip knowingness ."
1,an enjoyably half-wit remake of the venerable italian comedy big deal on madonna street .
0,rainy days and movies about the disintegration of families always get me down .
1,the second chapter of the harry potter series is even more magical than the first and simply the best family film of the year .
0,it 's hard not to feel you 've just watched a feature-length video game with some really heavy back story .
1,it 's one of the most honest films ever made about hollywood .
0,"where last time jokes flowed out of cho 's life story , which provided an engrossing dramatic through line , here the comedian hides behind obviously constructed routines ."
1,-lrb- but it 's -rrb- worth recommending because of two marvelous performances by michael caine and brendan fraser .
1,"there is a kind of attentive concern that hoffman brings to his characters , as if he has been giving them private lessons , and now it is time for their first public recital ."
0,"philip k. dick must be turning in his grave , along with my stomach ."
0,its characters are thinner than cardboard -- or even comic-book paper .
0,"fine acting but there is no sense of connecting the dots , just dots ."
0,"theology aside , why put someone who ultimately does n't learn at the center of a kids ' story ?"
1,"the movie 's quiet affirmation of neighborhood values gives it an honest , lived-in glow ."
0,it might as well have been problem child iv .
0,"feels like one of those contrived , only-in - hollywood productions where name actors deliver big performances created for the sole purpose of generating oscar talk ."
1,good ol' urban legend stuff .
1,"the film 's greatest asset is how much it 's not just another connect-the-dots , spy-on-the-run picture ."
0,"home alone goes hollywood , a funny premise until the kids start pulling off stunts not even steven spielberg would know how to do ."
1,"if it 's possible for a sequel to outshine the original , then sl2 does just that ."
1,"one of those rare , exhilarating cinematic delights that gets even better in hindsight , as you mull over its every nuance in your mind ."
0,"sunshine state lacks the kind of dynamic that limbo offers , and in some ways is a rather indulgent piece ."
1,"painful to watch , but viewers willing to take a chance will be rewarded with two of the year 's most accomplished and riveting film performances ."
0,"do not , under any circumstances , consider taking a child younger than middle school age to this wallow in crude humor ."
1,he simply presents his point of view that ayurveda works .
0,"for all its surface frenzy , high crimes should be charged with loitering -- so much on view , so little to offer ."
0,"like a marathon runner trying to finish a race , you need a constant influx of liquid just to get through it ."
0,it took 19 predecessors to get this ?
